out_name,units,long_name,standard_name,priority,comment,frequency,cell_methods
mrfso,kg m-2,Soil Frozen Water Content,soil_frozen_water_content,TIER1,"The mass of frozen water per unit area, summed over all soil layers. Reported as missing for grid cells with no land.",mon,area: mean time: mean
mrfso,kg m-2,Soil Frozen Water Content,soil_frozen_water_content,TIER1,"The mass of frozen water per unit area, summed over all soil layers. Reported as missing for grid cells with no land.",day,area: mean time: mean
mrfso,kg m-2,Soil Frozen Water Content,soil_frozen_water_content,TIER1,"The mass of frozen water per unit area, summed over all soil layers. Reported as missing for grid cells with no land.",6hrPt,area: mean time: point
mrfsos,kg m-2,Frozen Water Content in Upper Portion of Soil Column,frozen_water_content_of_soil_layer,TIER1,The mass of frosen water  in the upper 10cm of the soil layer. Reported as missing for grid cells with no land. (not in CMIP),mon,area: mean time: mean
mrfsos,kg m-2,Frozen Water Content in Upper Portion of Soil Column,frozen_water_content_of_soil_layer,TIER1,The mass of frosen water  in the upper 10cm of the soil layer. Reported as missing for grid cells with no land. (not in CMIP),day,area: mean time: mean
mrfsos,kg m-2,Frozen Water Content in Upper Portion of Soil Column,frozen_water_content_of_soil_layer,TIER1,The mass of frosen water  in the upper 10cm of the soil layer. Reported as missing for grid cells with no land. (not in CMIP),1hrPt,area: mean time: point
mrsfl,kg m-2,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,TIER1,"The mass of frosen water in each soil layer (3D variable). Reported as missing for grid cells with no land. (not in CMIP) [mrfsol -> mrsfl, 2022.09.22, https://github.com/WCRP-CORDEX/cordex-cmip6-data-request/issues/2 ]",mon,area: mean time: mean
mrsfl,kg m-2,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,TIER1,"The mass of frosen water in each soil layer (3D variable). Reported as missing for grid cells with no land. (not in CMIP) [mrfsol -> mrsfl, 2022.09.22, https://github.com/WCRP-CORDEX/cordex-cmip6-data-request/issues/2 ]",day,area: mean time: mean
mrsfl,kg m-2,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,TIER1,"The mass of frosen water in each soil layer (3D variable). Reported as missing for grid cells with no land. (not in CMIP) [mrfsol -> mrsfl, 2022.09.22, https://github.com/WCRP-CORDEX/cordex-cmip6-data-request/issues/2 ]",6hrPt,area: mean time: point
mrso,kg m-2,Total Soil Moisture Content,mass_content_of_water_in_soil,TIER1,"The mass of water in all phases per unit area, summed over all soil layers.",mon,area: mean time: mean
mrso,kg m-2,Total Soil Moisture Content,mass_content_of_water_in_soil,TIER1,"The mass of water in all phases per unit area, summed over all soil layers.",day,area: mean time: mean
mrso,kg m-2,Total Soil Moisture Content,mass_content_of_water_in_soil,TIER1,"The mass of water in all phases per unit area, summed over all soil layers.",6hrPt,area: mean time: point
mrsos,kg m-2,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,TIER1,The mass of water in all phases in the upper 10cm of the soil layer. Reported as missing for grid cells with no land.,mon,area: mean time: mean
mrsos,kg m-2,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,TIER1,The mass of water in all phases in the upper 10cm of the soil layer. Reported as missing for grid cells with no land.,day,area: mean time: mean
mrsos,kg m-2,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,TIER1,The mass of water in all phases in the upper 10cm of the soil layer. Reported as missing for grid cells with no land.,1hrPt,area: mean time: point
mrsol,kg m-2,Total Water Content of Soil Layer,mass_content_of_water_in_soil_layer,TIER1, The mass of water in all phases in each soil layer (3D variable). Reported as missing for grid cells with no land.,mon,area: mean time: mean
mrsol,kg m-2,Total Water Content of Soil Layer,mass_content_of_water_in_soil_layer,TIER1, The mass of water in all phases in each soil layer (3D variable). Reported as missing for grid cells with no land.,day,area: mean time: mean
mrsol,kg m-2,Total Water Content of Soil Layer,mass_content_of_water_in_soil_layer,TIER1, The mass of water in all phases in each soil layer (3D variable). Reported as missing for grid cells with no land.,6hrPt,area: mean time: point
snw,kg m-2,Surface Snow Amount,surface_snow_amount,TIER1,,mon,area: mean time: mean
snw,kg m-2,Surface Snow Amount,surface_snow_amount,TIER1,,day,area: mean time: mean
snw,kg m-2,Surface Snow Amount,surface_snow_amount,TIER1,,6hrPt,area: mean time: point
snc,%,Snow Area Percentage,surface_snow_area_fraction,TIER1,,mon,area: mean time: mean
snc,%,Snow Area Percentage,surface_snow_area_fraction,TIER1,,day,area: mean time: mean
snc,%,Snow Area Percentage,surface_snow_area_fraction,TIER1,,6hrPt,area: mean time: point
snd,m,Snow Depth,surface_snow_thickness,TIER1,,mon,area: mean time: mean
snd,m,Snow Depth,surface_snow_thickness,TIER1,,day,area: mean time: mean
snd,m,Snow Depth,surface_snow_thickness,TIER1,,6hrPt,area: mean time: point
siconca,%,Sea-Ice Area Percentage (Atmospheric Grid),sea_ice_area_fraction,TIER1,daily and monthly means,mon,area: mean time: mean
siconca,%,Sea-Ice Area Percentage (Atmospheric Grid),sea_ice_area_fraction,TIER1,daily and monthly means,day,area: mean time: mean
zmla,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,TIER1,,mon,area: mean time: mean
zmla,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,TIER1,,day,area: mean time: mean
zmla,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,TIER1,,1hrPt,area: mean time: point
prw,kg m-2,Water Vapor Path,atmosphere_mass_content_of_water_vapor,TIER1,,mon,area: mean time: mean
prw,kg m-2,Water Vapor Path,atmosphere_mass_content_of_water_vapor,TIER1,,day,area: mean time: mean
prw,kg m-2,Water Vapor Path,atmosphere_mass_content_of_water_vapor,TIER1,,1hrPt,area: mean time: point
clwvi,kg m-2,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,TIER1,,mon,area: mean time: mean
clwvi,kg m-2,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,TIER1,,day,area: mean time: mean
clwvi,kg m-2,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,TIER1,,1hrPt,area: mean time: point
clivi,kg m-2,Ice Water Path,atmosphere_mass_content_of_cloud_ice,TIER1,,mon,area: mean time: mean
clivi,kg m-2,Ice Water Path,atmosphere_mass_content_of_cloud_ice,TIER1,,day,area: mean time: mean
clivi,kg m-2,Ice Water Path,atmosphere_mass_content_of_cloud_ice,TIER1,,1hrPt,area: mean time: point
ua1000,m s-1,Eastward Wind,eastward_wind,TIER1,,mon,area: mean time: mean
ua1000,m s-1,Eastward Wind,eastward_wind,TIER1,,day,area: mean time: mean
ua1000,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt,area: mean time: point
ua925,m s-1,Eastward Wind,eastward_wind,TIER1,,mon,area: mean time: mean
ua925,m s-1,Eastward Wind,eastward_wind,TIER1,,day,area: mean time: mean
ua925,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt,area: mean time: point
ua850,m s-1,Eastward Wind,eastward_wind,TIER1,,mon,area: mean time: mean
ua850,m s-1,Eastward Wind,eastward_wind,TIER1,,day,area: mean time: mean
ua850,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt,area: mean time: point
ua700,m s-1,Eastward Wind,eastward_wind,TIER1,,mon,area: mean time: mean
ua700,m s-1,Eastward Wind,eastward_wind,TIER1,,day,area: mean time: mean
ua700,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt,area: mean time: point
ua600,m s-1,Eastward Wind,eastward_wind,TIER1,,mon,area: mean time: mean
ua600,m s-1,Eastward Wind,eastward_wind,TIER1,,day,area: mean time: mean
ua600,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt,area: mean time: point
ua500,m s-1,Eastward Wind,eastward_wind,TIER1,,mon,area: mean time: mean
ua500,m s-1,Eastward Wind,eastward_wind,TIER1,,day,area: mean time: mean
ua500,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt,area: mean time: point
ua400,m s-1,Eastward Wind,eastward_wind,TIER1,,mon,area: mean time: mean
ua400,m s-1,Eastward Wind,eastward_wind,TIER1,,day,area: mean time: mean
ua400,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt,area: mean time: point
ua300,m s-1,Eastward Wind,eastward_wind,TIER1,,mon,area: mean time: mean
ua300,m s-1,Eastward Wind,eastward_wind,TIER1,,day,area: mean time: mean
ua300,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt,area: mean time: point
ua250,m s-1,Eastward Wind,eastward_wind,TIER1,,mon,area: mean time: mean
ua250,m s-1,Eastward Wind,eastward_wind,TIER1,,day,area: mean time: mean
ua250,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt,area: mean time: point
ua200,m s-1,Eastward Wind,eastward_wind,TIER1,,mon,area: mean time: mean
ua200,m s-1,Eastward Wind,eastward_wind,TIER1,,day,area: mean time: mean
ua200,m s-1,Eastward Wind,eastward_wind,TIER1,,6hrPt,area: mean time: point
va1000,m s-1,Northward Wind,northward_wind,TIER1,,mon,area: mean time: mean
va1000,m s-1,Northward Wind,northward_wind,TIER1,,day,area: mean time: mean
va1000,m s-1,Northward Wind,northward_wind,TIER1,,6hrPt,area: mean time: point
va925,m s-1,Northward Wind,northward_wind,TIER1,,mon,area: mean time: mean
va925,m s-1,Northward Wind,northward_wind,TIER1,,day,area: mean time: mean
va925,m s-1,Northward Wind,northward_wind,TIER1,,6hrPt,area: mean time: point
va850,m s-1,Northward Wind,northward_wind,TIER1,,mon,area: mean time: mean
va850,m s-1,Northward Wind,northward_wind,TIER1,,day,area: mean time: mean
va850,m s-1,Northward Wind,northward_wind,TIER1,,6hrPt,area: mean time: point
va700,m s-1,Northward Wind,northward_wind,TIER1,,mon,area: mean time: mean
va700,m s-1,Northward Wind,northward_wind,TIER1,,day,area: mean time: mean
va700,m s-1,Northward Wind,northward_wind,TIER1,,6hrPt,area: mean time: point
va600,m s-1,Northward Wind,northward_wind,TIER1,,mon,area: mean time: mean
va600,m s-1,Northward Wind,northward_wind,TIER1,,day,area: mean time: mean
va600,m s-1,Northward Wind,northward_wind,TIER1,,6hrPt,area: mean time: point
va500,m s-1,Northward Wind,northward_wind,TIER1,,mon,area: mean time: mean
va500,m s-1,Northward Wind,northward_wind,TIER1,,day,area: mean time: mean
va500,m s-1,Northward Wind,northward_wind,TIER1,,6hrPt,area: mean time: point
va400,m s-1,Northward Wind,northward_wind,TIER1,,mon,area: mean time: mean
va400,m s-1,Northward Wind,northward_wind,TIER1,,day,area: mean time: mean
va400,m s-1,Northward Wind,northward_wind,TIER1,,6hrPt,area: mean time: point
va300,m s-1,Northward Wind,northward_wind,TIER1,,mon,area: mean time: mean
va300,m s-1,Northward Wind,northward_wind,TIER1,,day,area: mean time: mean
va300,m s-1,Northward Wind,northward_wind,TIER1,,6hrPt,area: mean time: point
va250,m s-1,Northward Wind,northward_wind,TIER1,,mon,area: mean time: mean
va250,m s-1,Northward Wind,northward_wind,TIER1,,day,area: mean time: mean
va250,m s-1,Northward Wind,northward_wind,TIER1,,6hrPt,area: mean time: point
va200,m s-1,Northward Wind,northward_wind,TIER1,,mon,area: mean time: mean
va200,m s-1,Northward Wind,northward_wind,TIER1,,day,area: mean time: mean
va200,m s-1,Northward Wind,northward_wind,TIER1,,6hrPt,area: mean time: point
ta1000,K,Air Temperature,air_temperature,TIER1,,mon,area: mean time: mean
ta1000,K,Air Temperature,air_temperature,TIER1,,day,area: mean time: mean
ta1000,K,Air Temperature,air_temperature,TIER1,,6hrPt,area: mean time: point
ta925,K,Air Temperature,air_temperature,TIER1,,mon,area: mean time: mean
ta925,K,Air Temperature,air_temperature,TIER1,,day,area: mean time: mean
ta925,K,Air Temperature,air_temperature,TIER1,,6hrPt,area: mean time: point
ta850,K,Air Temperature,air_temperature,TIER1,,mon,area: mean time: mean
ta850,K,Air Temperature,air_temperature,TIER1,,day,area: mean time: mean
ta850,K,Air Temperature,air_temperature,TIER1,,6hrPt,area: mean time: point
ta700,K,Air Temperature,air_temperature,TIER1,,mon,area: mean time: mean
ta700,K,Air Temperature,air_temperature,TIER1,,day,area: mean time: mean
ta700,K,Air Temperature,air_temperature,TIER1,,6hrPt,area: mean time: point
ta600,K,Air Temperature,air_temperature,TIER1,,mon,area: mean time: mean
ta600,K,Air Temperature,air_temperature,TIER1,,day,area: mean time: mean
ta600,K,Air Temperature,air_temperature,TIER1,,6hrPt,area: mean time: point
ta500,K,Air Temperature,air_temperature,TIER1,,mon,area: mean time: mean
ta500,K,Air Temperature,air_temperature,TIER1,,day,area: mean time: mean
ta500,K,Air Temperature,air_temperature,TIER1,,6hrPt,area: mean time: point
ta400,K,Air Temperature,air_temperature,TIER1,,mon,area: mean time: mean
ta400,K,Air Temperature,air_temperature,TIER1,,day,area: mean time: mean
ta400,K,Air Temperature,air_temperature,TIER1,,6hrPt,area: mean time: point
ta300,K,Air Temperature,air_temperature,TIER1,,mon,area: mean time: mean
ta300,K,Air Temperature,air_temperature,TIER1,,day,area: mean time: mean
ta300,K,Air Temperature,air_temperature,TIER1,,6hrPt,area: mean time: point
ta250,K,Air Temperature,air_temperature,TIER1,,mon,area: mean time: mean
ta250,K,Air Temperature,air_temperature,TIER1,,day,area: mean time: mean
ta250,K,Air Temperature,air_temperature,TIER1,,6hrPt,area: mean time: point
ta200,K,Air Temperature,air_temperature,TIER1,,mon,area: mean time: mean
ta200,K,Air Temperature,air_temperature,TIER1,,day,area: mean time: mean
ta200,K,Air Temperature,air_temperature,TIER1,,6hrPt,area: mean time: point
hus1000,1,Specific Humidity,specific_humidity,TIER1,,mon,area: mean time: mean
hus1000,1,Specific Humidity,specific_humidity,TIER1,,day,area: mean time: mean
hus1000,1,Specific Humidity,specific_humidity,TIER1,,6hrPt,area: mean time: point
hus925,1,Specific Humidity,specific_humidity,TIER1,,mon,area: mean time: mean
hus925,1,Specific Humidity,specific_humidity,TIER1,,day,area: mean time: mean
hus925,1,Specific Humidity,specific_humidity,TIER1,,6hrPt,area: mean time: point
hus850,1,Specific Humidity,specific_humidity,TIER1,,mon,area: mean time: mean
hus850,1,Specific Humidity,specific_humidity,TIER1,,day,area: mean time: mean
hus850,1,Specific Humidity,specific_humidity,TIER1,,6hrPt,area: mean time: point
hus700,1,Specific Humidity,specific_humidity,TIER1,,mon,area: mean time: mean
hus700,1,Specific Humidity,specific_humidity,TIER1,,day,area: mean time: mean
hus700,1,Specific Humidity,specific_humidity,TIER1,,6hrPt,area: mean time: point
hus600,1,Specific Humidity,specific_humidity,TIER1,,mon,area: mean time: mean
hus600,1,Specific Humidity,specific_humidity,TIER1,,day,area: mean time: mean
hus600,1,Specific Humidity,specific_humidity,TIER1,,6hrPt,area: mean time: point
hus500,1,Specific Humidity,specific_humidity,TIER1,,mon,area: mean time: mean
hus500,1,Specific Humidity,specific_humidity,TIER1,,day,area: mean time: mean
hus500,1,Specific Humidity,specific_humidity,TIER1,,6hrPt,area: mean time: point
hus400,1,Specific Humidity,specific_humidity,TIER1,,mon,area: mean time: mean
hus400,1,Specific Humidity,specific_humidity,TIER1,,day,area: mean time: mean
hus400,1,Specific Humidity,specific_humidity,TIER1,,6hrPt,area: mean time: point
hus300,1,Specific Humidity,specific_humidity,TIER1,,mon,area: mean time: mean
hus300,1,Specific Humidity,specific_humidity,TIER1,,day,area: mean time: mean
hus300,1,Specific Humidity,specific_humidity,TIER1,,6hrPt,area: mean time: point
