out_name,units,long_name,standard_name,priority,comment,frequency,cell_methods,modeling_realm,cell_measures,dimensions,type,positive,valid_min,valid_max,ok_min_mean_abs,ok_max_mean_abs
prc,kg m-2 s-1,Convective Precipitation,convective_precipitation_flux,TIER1,,1hr,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
prhmax,kg m-2 s-1,Daily Maximum Hourly Precipitation Rate,precipitation_flux,TIER1,Defined as maximum of the precipitation rate averaged over the whole hour. ,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
prhmax,kg m-2 s-1,Daily Maximum Hourly Precipitation Rate,precipitation_flux,TIER1,Defined as maximum of the precipitation rate averaged over the whole hour. ,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
prsn,kg m-2 s-1,Snowfall Flux,snowfall_flux,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
prsn,kg m-2 s-1,Snowfall Flux,snowfall_flux,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
prsn,kg m-2 s-1,Snowfall Flux,snowfall_flux,TIER1,,1hr,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
mrros,kg m-2 s-1,Surface Runoff,surface_runoff_flux,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
mrros,kg m-2 s-1,Surface Runoff,surface_runoff_flux,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
mrros,kg m-2 s-1,Surface Runoff,surface_runoff_flux,TIER1,,6hr,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
mrro,kg m-2 s-1,Total Runoff,runoff_flux,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
mrro,kg m-2 s-1,Total Runoff,runoff_flux,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
mrro,kg m-2 s-1,Total Runoff,runoff_flux,TIER1,,6hr,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
snm,kg m-2 s-1,Surface Snow Melt,surface_snow_melt_flux,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
snm,kg m-2 s-1,Surface Snow Melt,surface_snow_melt_flux,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
snm,kg m-2 s-1,Surface Snow Melt,surface_snow_melt_flux,TIER1,,6hr,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
tauu,Pa,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
tauu,Pa,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
tauu,Pa,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,TIER1,,1hr,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
tauv,Pa,Surface Downward Northward Wind Stress,surface_downward_northward_stress,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
tauv,Pa,Surface Downward Northward Wind Stress,surface_downward_northward_stress,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
tauv,Pa,Surface Downward Northward Wind Stress,surface_downward_northward_stress,TIER1,,1hr,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
sfcWindmax,m s-1,Daily Maximum Near-Surface Wind Speed,wind_speed,TIER1,Maximum from all integrated time steps per day,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time height10m,real,,,,,
sfcWindmax,m s-1,Daily Maximum Near-Surface Wind Speed,wind_speed,TIER1,Maximum from all integrated time steps per day,day,area: mean time: mean,atmos,area: areacella,longitude latitude time height10m,real,,,,,
sund,s,Daily Duration of Sunshine,duration_of_sunshine,TIER1,"The WMO definition of sunshine is that the surface incident radiative flux from the solar beam (i.e. excluding diffuse skylight) exceeds 120 W m-2. ""Duration"" is the length of time for which a condition holds.",mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
sund,s,Daily Duration of Sunshine,duration_of_sunshine,TIER1,"The WMO definition of sunshine is that the surface incident radiative flux from the solar beam (i.e. excluding diffuse skylight) exceeds 120 W m-2. ""Duration"" is the length of time for which a condition holds.",day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
rsdsdir,W m-2,Surface Direct Downwelling Shortwave Radiation,surface_direct_downwelling_shortwave_flux_in_air,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
rsdsdir,W m-2,Surface Direct Downwelling Shortwave Radiation,surface_direct_downwelling_shortwave_flux_in_air,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
rsdsdir,W m-2,Surface Direct Downwelling Shortwave Radiation,surface_direct_downwelling_shortwave_flux_in_air,TIER1,,1hr,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
rsus,W m-2,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
rsus,W m-2,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
rsus,W m-2,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,TIER1,,1hr,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
rlus,W m-2,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
rlus,W m-2,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
rlus,W m-2,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,TIER1,,1hr,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
rlut,W m-2,TOA Outgoing Longwave Radiation,toa_outgoing_longwave_flux,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
rlut,W m-2,TOA Outgoing Longwave Radiation,toa_outgoing_longwave_flux,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
rlut,W m-2,TOA Outgoing Longwave Radiation,toa_outgoing_longwave_flux,TIER1,,1hr,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
rsdt,W m-2,TOA Incident Shortwave Radiation,toa_incoming_shortwave_flux,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
rsdt,W m-2,TOA Incident Shortwave Radiation,toa_incoming_shortwave_flux,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
rsdt,W m-2,TOA Incident Shortwave Radiation,toa_incoming_shortwave_flux,TIER1,,1hr,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
rsut,W m-2,TOA Outgoing Shortwave Radiation,toa_outgoing_shortwave_flux,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
rsut,W m-2,TOA Outgoing Shortwave Radiation,toa_outgoing_shortwave_flux,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
rsut,W m-2,TOA Outgoing Shortwave Radiation,toa_outgoing_shortwave_flux,TIER1,,1hr,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
hfls,W m-2,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
hfls,W m-2,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
hfls,W m-2,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,TIER1,,1hr,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
hfss,W m-2,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,TIER1,,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
hfss,W m-2,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,TIER1,,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
hfss,W m-2,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,TIER1,,1hr,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
mrfso,kg m-2,Soil Frozen Water Content,soil_frozen_water_content,TIER1,"The mass of frozen water per unit area, summed over all soil layers. Reported as missing for grid cells with no land.",mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
mrfso,kg m-2,Soil Frozen Water Content,soil_frozen_water_content,TIER1,"The mass of frozen water per unit area, summed over all soil layers. Reported as missing for grid cells with no land.",day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
mrfso,kg m-2,Soil Frozen Water Content,soil_frozen_water_content,TIER1,"The mass of frozen water per unit area, summed over all soil layers. Reported as missing for grid cells with no land.",6hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1,real,,,,,
mrfsos,kg m-2,Frozen Water Content in Upper Portion of Soil Column,frozen_water_content_of_soil_layer,TIER1,The mass of frosen water  in the upper 10cm of the soil layer. Reported as missing for grid cells with no land. (not in CMIP),mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
mrfsos,kg m-2,Frozen Water Content in Upper Portion of Soil Column,frozen_water_content_of_soil_layer,TIER1,The mass of frosen water  in the upper 10cm of the soil layer. Reported as missing for grid cells with no land. (not in CMIP),day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
mrfsos,kg m-2,Frozen Water Content in Upper Portion of Soil Column,frozen_water_content_of_soil_layer,TIER1,The mass of frosen water  in the upper 10cm of the soil layer. Reported as missing for grid cells with no land. (not in CMIP),1hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1,real,,,,,
mrfsol,kg m-2,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,TIER1,The mass of frosen water in each soil layer (3D variable). Reported as missing for grid cells with no land. (not in CMIP),mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
mrfsol,kg m-2,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,TIER1,The mass of frosen water in each soil layer (3D variable). Reported as missing for grid cells with no land. (not in CMIP),day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
mrfsol,kg m-2,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,TIER1,The mass of frosen water in each soil layer (3D variable). Reported as missing for grid cells with no land. (not in CMIP),6hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1,real,,,,,
mrso,kg m-2,Total Soil Moisture Content,mass_content_of_water_in_soil,TIER1,"The mass of water in all phases per unit area, summed over all soil layers.",mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
mrso,kg m-2,Total Soil Moisture Content,mass_content_of_water_in_soil,TIER1,"The mass of water in all phases per unit area, summed over all soil layers.",day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
mrso,kg m-2,Total Soil Moisture Content,mass_content_of_water_in_soil,TIER1,"The mass of water in all phases per unit area, summed over all soil layers.",6hrPt,area: mean time: point,atmos,area: areacella,longitude latitude time1,real,,,,,
mrsos,kg m-2,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,TIER1,The mass of water in all phases in the upper 10cm of the soil layer. Reported as missing for grid cells with no land.,mon,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
mrsos,kg m-2,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,TIER1,The mass of water in all phases in the upper 10cm of the soil layer. Reported as missing for grid cells with no land.,day,area: mean time: mean,atmos,area: areacella,longitude latitude time,real,,,,,
